date,shop,price
01-33-24,Zomato order,100
01-03-24,Uber ride,180
1-04-24,Swiggy food,420
01-05-24,Movie ticket,250
01-06-24,Amazon shopping,1200
01-07-24,Flipkart electronics,2500
01-08-24,Local grocery store,600
01-09-24,Petrol pump,1500
01-10-24,Dominos pizza,500
01-11-24,Clothing store Zara,2200
01-12-24,Starbucks coffee,300
01-13-24,Bookstore purchase,450
01-14-24,Electricity bill,1800
01-15-24,Mobile recharge,299
01-16-24,Netflix subscription,649
01-17-24,Train ticket,900
01-18-24,Medical store,350
01-19-24,Gym membership,1200
01-20-24,Restaurant dinner,800
01-21-24,Online course Udemy,700